"ROWKEY","COMMCONTENT","COMMLEVEL"
"1080003","普通公园一个只是多了几个泉而已，人不多，适合老人孩子闲逛，买票的话还是贵了，人家说6.30之前进园不用花钱","1"
"1080004","跟儿子在里面玩了一天，非常好！跟儿子在里面玩了一天，非常好！真的很不错哦，有空还要去","1"
"1080005","这已经是第五次来这里玩了。每次孩子都很喜欢，不愿意从水里出来。有机会还会再来。还有比我更忠诚的客户吗？哈哈","1"
"1080006","当天在携程上定的票，打温泉度假村咨询电话和携程客服都说次日生效，但到酒店后，票能用。请客服人员了解清楚再回答咨询问题。不然听信，就得中途掉头回家了。","1"
"1080007","烟台历史的一部分，非常值得推荐去看看！海边景色也很漂亮！","1"
"1080008","周末看看动物亲近亲近大自然挺好的，媳妇儿还跟猴子拍照，猴子满身爬，挺好玩，如果动物再多点就好了，门票小贵","1"
"1080009","五四广场青岛旅游景点必打卡又一地点，标志性红包建筑雕塑矗立在市政府对面亦是海边，还是有点意思的，旁边有游船可出海游玩","1"
"1080010","五四广场坐落在山东省青岛市市南区，在海边，那个红红的火炬就是五四广场的标志。广场上有大片绿地，广场上游玩的人挺多的，聚集火车站不太远。","1"
"1080011","环境好，景色美，值得游览，感觉很好","1"
"1080012","青岛市中心广场，纪念五四运动而命名，风景独特","1"
"1080013","岱庙历史已经达千年以上，岱庙是古代皇帝来泰安的行宫，历朝历代留下的碑刻现在已经是国宝了，李斯小篆、张迁碑、双束碑等都在国宝档案中介绍过，乾隆皇帝赐给泰山的三件宝贝：沉香狮子、温凉玉圭、黄釉葫芦瓶就放在岱庙，汉柏、唐槐等古树苍天，门票且非常便宜，来泰安必到之处。","1"
"1080014","很大的一个庙，网上订票很方便！","1"
"1080015","渔港建设的比较好，停车位充足，海鲜品种丰富。积米崖的海鲜集市时间不固定，根据潮汐变化，每天渔船回港的时候不定，一般是下午回小船，凌晨2点左右开始回大船。渔民从船上卸货后，市民们就会在码头边上聚集选购；没有渔船靠岸时，集市就会在渔港北面港口东侧的市场内的经营。早晨3点到6点时直接从船上买货比较新鲜，放心，价格实惠。","1"
"1080016","该景点绝对是此生必去景区之一，推荐大家都去玩玩。非常适合全家出动游玩。信号山的人不多，登顶可以看到青岛全景。特别喜欢顶上的信号塔。","1"
"1080017","交通便利物美价廉快来快来交通便利物美价廉快来快来交通便利物美价廉快来快来交通便利物美价廉快来快来交通便利物美价廉快来快来交通便利物美价廉快来快来交通便利物美价廉快来快来交通便利物美价廉快来快来交通便利物美价廉快来快来交通便利物美价廉。","1"
"1080018","海鲜多，新鲜，自己买自己做味道不错的！","1"
"1080019","螃蟹，海蛎子很新鲜看看来购买，公交方便有停车场，也有干海货过年送礼到积米崖来吧！","1"
"1080020","海鲜品种多价格合理新鲜，交通便利有个大停车场快来选购吧。","1"
"1080021","10月6号出行，一家4人，两个孩子，给孩子增加科普知识。不虚此行，然后游蒙山。","1"
"1080022","增加了自然知识，和地球的动植物进化过程了解，孩子看的很认真。是不错的假日科普旅行","1"
"1080023","博物馆很大，收藏品种很多，值得一看，推荐哦","1"
"1080024","下雨天人少，不用排队，挺好。建筑很童话适合拍照","1"
"1080025","玩的非常开心，体验高科技非常惊喜，值得再次游玩","1"
"1080026","家乡的产业支持一下，最近几年建的还不错，野人谷民俗村表演都很多，很适合一家老小出行","1"
"1080027","虽然路途有點远但是过去赶到以后发觉真心太不赖，各种理疗，各种温泉，因为时间问题没有玩够就走了，以后还会过去的middotmiddotmiddotmiddotmiddotmiddotmiddot","1"
"1080028","世界上最大的宋代山寨水寨，气势雄伟，蔚为壮观，水寨、吊桥，山寨、忠义堂构成","1"
"1080029","这里的风景真的不错，就是门票贵了点，但是总体来讲性价比还是不错的。可以看见海边。","1"
"1080030","很好的一次旅行 就是人有点多 总体来说很好","1"
"1080031","不错的，带孩子来玩，孩子很高兴。。。。。。。","1"
"1080032","在小鱼温泉中泡得很舒服，孩子玩得很开心，下次还会再去。","1"
"1080033","整体感觉还可以，就是人太多了，景区有点接待不过来，里面可以吃的东西太少，并且太贵，希望景区可以改进。","1"
"1080034","刚去么咯啊龙哥不够dog两马特哦小题else啊是继续睡觉","1"
"1080035","售票处排了长长的对，携程上够的票，免了排队的辛苦。","1"
"1080036","水比青岛，威海，秦皇岛都要好，沙子也舒服，我认为是北方最好的沙滩了！绝对推荐","1"
"1080037","烟台真的大手笔，这么美的沙滩，而且配套特别齐全，夏天来烟台一定要带上泳衣来这游泳","1"
"1080038","新修的滨海路很长，宽阔，停车位特别多，沿着海边开很舒服。夏季来洗海澡，海边很开阔，向里100米也不深。夹河口落潮时能摸点海货。冬天会在海边封海，人会很少，找个风和日丽的天来着跑步会感觉很舒服，偶尔也会在海边检点玩意儿哦。开发区规划中心造型独特，广场很大很适合休闲锻炼。","1"
"1080039","很好玩，很有趣，有好吃的，风景好","1"
"1080040","青岛新的地标，来青岛必去的经典之一。很好的拍摄角度，对面大海很震撼","1"
"1080041","挺好的 尤其是大摆锤 挑战自我 ","1"
"1080042","嗯嗯还可以的看看咯摸摸科莫摸摸","1"
"1080043","服务不错。泳池水凉，室外的，下不去，室内泳池挺好，还是值得一泡……推荐去，就是节假日人多","1"
"1080044","浮来山景区的最大卖点还是大银杏，周边开发力度有待提升。另外有一个疑问：寺庙的师傅真的是出家人吗？","1"
"1080045","雪山彩虹新上的项目，“彩虹跳跃”是以跳跃为主的一种游乐设备，游乐项目高24米，设备色彩亮丽，装饰灯造型优美，气势恢宏，配有动听的音乐，16个座舱沿着竖直的立柱轨道做上升、下降和连贯有序的跳跃运动，使乘客在上升与下降的过程中体验惊险与刺激的同时感受到一种飞跃云霄的享受。还有旋转木马、彩虹飞翔，真的很好玩","1"
"1080046","彩虹谷里面真的只有彩虹谷比较好，别的感觉也没什么意思！","1"
"1080047","非常美丽的景色，气候宜人，环境优美，海水清澈","1"
"1080048","若有水流是相当不错，但门票价格相对较高。游人并不多，青松翠柏，环境不错，依旧枝繁叶茂","1"
"1080049","初时是在网上查到浮来山，本来是查日照景点，实际离日照还有七十名公里，银杏树王三千多岁了，值得一看，树王边上的两个人形雕塑有特色，别的没啥看点！","1"
"1080050","很大好多人，比其他地方的好玩些，就是场馆有点分散。","1"
"1080051","环境好，很好的展示了青岛啤酒的发展史，值得去感受一下的。","1"
"1080052","每个项目都要排队但是很有秩序，工作人员挺热情1米2以下小孩玩的项目少点。总体还可以。","1"
"1080053","工作原因只有一天游玩时间，于是买了联票，性价比还不错，趵突泉处处是景，虽然已经快找不到泉眼了，五龙潭小孩戏水大闹的厉害，不过挺喜欢的，大明湖倒没什么特别，特别坑的是绕了大半个湖发现路被堵死了，只有从旁边的门出来，不过也确实没时间玩了。","1"
"1080054","爱在心口难开，经常和朋友一起去玩，很不错的娱乐场所","1"
"1080055","自涌泉水，很清澈甘甜，公园很和谐","1"
"1080056","周末一家人休闲的理想去处，群山环抱，绿色葱郁，放松身心的理想场所。","1"
"1080057","只开放了一期部分，据说明年五月才能全部开放，如果带孩子去还是比较值的，儿童游乐区都是用的通票，有十来种游乐项目吧，无限次体验。看孙子文化的话还是等明年建好了吧","1"
"1080058","秋季山上开始落叶，国庆人稍多，景色不错就是门票稍贵，空气不错，要是爬山真的提前锻炼好，有点累人","1"
